fold,model,param_name,param_val,test_error,cv_seed_used
1,ANNClassifier,h,80,0.4042553191489362,131125
2,ANNClassifier,h,80,0.3191489361702128,131125
3,ANNClassifier,h,90,0.17391304347826086,131125
4,ANNClassifier,h,90,0.28260869565217395,131125
5,ANNClassifier,h,90,0.28260869565217395,131125
6,ANNClassifier,h,90,0.28260869565217395,131125
7,ANNClassifier,h,100,0.17391304347826086,131125
8,ANNClassifier,h,90,0.28260869565217395,131125
9,ANNClassifier,h,90,0.26086956521739135,131125
10,ANNClassifier,h,90,0.26086956521739135,131125
1,BaselineClassifier,,,0.34042553191489366,131125
2,BaselineClassifier,,,0.4042553191489362,131125
3,BaselineClassifier,,,0.21739130434782605,131125
4,BaselineClassifier,,,0.3913043478260869,131125
5,BaselineClassifier,,,0.32608695652173914,131125
6,BaselineClassifier,,,0.3913043478260869,131125
7,BaselineClassifier,,,0.3913043478260869,131125
8,BaselineClassifier,,,0.3695652173913043,131125
9,BaselineClassifier,,,0.3695652173913043,131125
10,BaselineClassifier,,,0.26086956521739135,131125
1,LogisticRegression,lambda,0.4198707084443914,0.21276595744680848,131125
2,LogisticRegression,lambda,0.028660676169482504,0.276595744680851,131125
3,LogisticRegression,lambda,3.2176417502507353,0.17391304347826086,131125
4,LogisticRegression,lambda,6.747544053110699,0.23913043478260865,131125
5,LogisticRegression,lambda,8.119844993184008,0.34782608695652173,131125
6,LogisticRegression,lambda,1.059560179277617,0.3695652173913043,131125
7,LogisticRegression,lambda,0.4605922041145104,0.26086956521739135,131125
8,LogisticRegression,lambda,32.550885998350566,0.32608695652173914,131125
9,LogisticRegression,lambda,4.659525668664678,0.28260869565217395,131125
10,LogisticRegression,lambda,0.6080224261649427,0.34782608695652173,131125
